code_name,SMILES,charge,multiplicity,unpaired
A1a_pyridinium,[H]C1C=[N+](C)C=C(C(N)=O)C1,1,1,0
A1b_pyridinium,CC1C=[N+](C)C=C(C(N)=O)C1,1,1,0
A2a_pyridinium,[H]C1C=[N+](C)C=C(C#N)C1,1,1,0
A2b_pyridinium,CC1C=[N+](C)C=C(C#N)C1,1,1,0
A5a_pyridinium,[H]C1C=[N+](C)C=C(C(=O)[O-])C1,0,1,0
A5b_pyridinium,CC1C=[N+](C)C=C(C(=O)[O-])C1,0,1,0
A3a_pyridinium,[H]C1C=[N+](C)C=C(C(C)=O)C1,1,1,0
A3b_pyridinium,CC(=O)C1=C[N+](C)=CC(C)C1,1,1,0
A4a_pyridinium,[H]C1C=[N+](C)C=C(C=O)C1,1,1,0
A4b_pyridinium,CC1C=[N+](C)C=C(C=O)C1,1,1,0
A6a_pyridinium,[H]C1C=[N+](C)C=C(C(=O)OC)C1,1,1,0
A6b_pyridinium,COC(=O)C1=C[N+](C)=CC(C)C1,1,1,0
B1a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(N)=O)C1,1,1,0
B1b_pyridinium,CCCC[N+]1=CC(C)CC(C(N)=O)=C1,1,1,0
B2a_pyridinium,[H]C1C=[N+](CCCC)C=C(C#N)C1,1,1,0
B2b_pyridinium,CCCC[N+]1=CC(C)CC(C#N)=C1,1,1,0
B5a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(=O)[O-])C1,0,1,0
B5b_pyridinium,CCCC[N+]1=CC(C)CC(C(=O)[O-])=C1,0,1,0
B3a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(C)=O)C1,1,1,0
B3b_pyridinium,CCCC[N+]1=CC(C)CC(C(C)=O)=C1,1,1,0
B4a_pyridinium,[H]C1C=[N+](CCCC)C=C(C=O)C1,1,1,0
B4b_pyridinium,CCCC[N+]1=CC(C)CC(C=O)=C1,1,1,0
B6a_pyridinium,[H]C1C=[N+](CCCC)C=C(C(=O)OC)C1,1,1,0
B6b_pyridinium,CCCC[N+]1=CC(C)CC(C(=O)OC)=C1,1,1,0
D1a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(N)=O)C1,1,1,0
D1b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(N)=O)=C1,1,1,0
D2a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C#N)C1,1,1,0
D2b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C#N)=C1,1,1,0
D5a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(=O)[O-])C1,0,1,0
D5b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(=O)[O-])=C1,0,1,0
D3a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(C)=O)C1,1,1,0
D3b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(C)=O)=C1,1,1,0
D4a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C=O)C1,1,1,0
D4b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C=O)=C1,1,1,0
D6a_pyridinium,[H]C1C=[N+](CCCCCCCC)C=C(C(=O)OC)C1,1,1,0
D6b_pyridinium,CCCCCCCC[N+]1=CC(C)CC(C(=O)OC)=C1,1,1,0
C1a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(N)=O)C1,1,1,0
C1b_pyridinium,CC1C=[N+](CCCCO)C=C(C(N)=O)C1,1,1,0
C2a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C#N)C1,1,1,0
C2b_pyridinium,CC1C=[N+](CCCCO)C=C(C#N)C1,1,1,0
C5a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(=O)[O-])C1,0,1,0
C5b_pyridinium,CC1C=[N+](CCCCO)C=C(C(=O)[O-])C1,0,1,0
C3a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(C)=O)C1,1,1,0
C3b_pyridinium,CC(=O)C1=C[N+](CCCCO)=CC(C)C1,1,1,0
C4a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C=O)C1,1,1,0
C4b_pyridinium,CC1C=[N+](CCCCO)C=C(C=O)C1,1,1,0
C6a_pyridinium,[H]C1C=[N+](CCCCO)C=C(C(=O)OC)C1,1,1,0
C6b_pyridinium,COC(=O)C1=C[N+](CCCCO)=CC(C)C1,1,1,0
E1a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(N)=O)C1,1,1,0
E1b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C(N)=O)C1,1,1,0
E2a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C#N)C1,1,1,0
E2b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C#N)C1,1,1,0
E5a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(=O)[O-])C1,0,1,0
E5b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C(=O)[O-])C1,0,1,0
E3a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(C)=O)C1,1,1,0
E3b_pyridinium,CC(=O)C1=C[N+](c2ccccc2)=CC(C)C1,1,1,0
E4a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C=O)C1,1,1,0
E4b_pyridinium,CC1C=[N+](c2ccccc2)C=C(C=O)C1,1,1,0
E6a_pyridinium,[H]C1C=[N+](c2ccccc2)C=C(C(=O)OC)C1,1,1,0
E6b_pyridinium,COC(=O)C1=C[N+](c2ccccc2)=CC(C)C1,1,1,0
J1a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(N)=O)C1,1,1,0
J1b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C(N)=O)C1,1,1,0
J2a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C#N)C1,1,1,0
J2b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C#N)C1,1,1,0
J5a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(=O)[O-])C1,0,1,0
J5b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C(=O)[O-])C1,0,1,0
J3a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(C)=O)C1,1,1,0
J3b_pyridinium,CC(=O)C1=C[N+](c2ccc(O)cc2)=CC(C)C1,1,1,0
J4a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C=O)C1,1,1,0
J4b_pyridinium,CC1C=[N+](c2ccc(O)cc2)C=C(C=O)C1,1,1,0
J6a_pyridinium,[H]C1C=[N+](c2ccc(O)cc2)C=C(C(=O)OC)C1,1,1,0
J6b_pyridinium,COC(=O)C1=C[N+](c2ccc(O)cc2)=CC(C)C1,1,1,0
F1a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(N)=O)C1,1,1,0
F1b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C(N)=O)C1,1,1,0
F2a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C#N)C1,1,1,0
F2b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C#N)C1,1,1,0
F5a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
F5b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
F3a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(C)=O)C1,1,1,0
F3b_pyridinium,CC(=O)C1=C[N+](Cc2ccccc2)=CC(C)C1,1,1,0
F4a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C=O)C1,1,1,0
F4b_pyridinium,CC1C=[N+](Cc2ccccc2)C=C(C=O)C1,1,1,0
F6a_pyridinium,[H]C1C=[N+](Cc2ccccc2)C=C(C(=O)OC)C1,1,1,0
F6b_pyridinium,COC(=O)C1=C[N+](Cc2ccccc2)=CC(C)C1,1,1,0
G1a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(N)=O)C1,1,1,0
G1b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C(N)=O)C1,1,1,0
G2a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C#N)C1,1,1,0
G2b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C#N)C1,1,1,0
G5a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
G5b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
G3a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(C)=O)C1,1,1,0
G3b_pyridinium,CC(=O)C1=C[N+](CCc2ccccc2)=CC(C)C1,1,1,0
G4a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C=O)C1,1,1,0
G4b_pyridinium,CC1C=[N+](CCc2ccccc2)C=C(C=O)C1,1,1,0
G6a_pyridinium,[H]C1C=[N+](CCc2ccccc2)C=C(C(=O)OC)C1,1,1,0
G6b_pyridinium,COC(=O)C1=C[N+](CCc2ccccc2)=CC(C)C1,1,1,0
H1a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(N)=O)C1,1,1,0
H1b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C(N)=O)C1,1,1,0
H2a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C#N)C1,1,1,0
H2b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C#N)C1,1,1,0
H5a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
H5b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
H3a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(C)=O)C1,1,1,0
H3b_pyridinium,CC(=O)C1=C[N+](CCCc2ccccc2)=CC(C)C1,1,1,0
H4a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C=O)C1,1,1,0
H4b_pyridinium,CC1C=[N+](CCCc2ccccc2)C=C(C=O)C1,1,1,0
H6a_pyridinium,[H]C1C=[N+](CCCc2ccccc2)C=C(C(=O)OC)C1,1,1,0
H6b_pyridinium,COC(=O)C1=C[N+](CCCc2ccccc2)=CC(C)C1,1,1,0
K1a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(N)=O)C1,0,1,0
K1b_pyridinium,CC1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(N)=O)C1,0,1,0
K2a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C#N)C1,0,1,0
K2b_pyridinium,CC1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C#N)C1,0,1,0
K5a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(=O)[O-])C1,-1,1,0
K5b_pyridinium,CC1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(=O)[O-])C1,-1,1,0
K3a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(C)=O)C1,0,1,0
K3b_pyridinium,CC(=O)C1=C[N+](CCc2ccc(C(=O)[O-])cc2)=CC(C)C1,0,1,0
K4a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C=O)C1,0,1,0
K4b_pyridinium,CC1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C=O)C1,0,1,0
K6a_pyridinium,[H]C1C=[N+](CCc2ccc(C(=O)[O-])cc2)C=C(C(=O)OC)C1,0,1,0
K6b_pyridinium,COC(=O)C1=C[N+](CCc2ccc(C(=O)[O-])cc2)=CC(C)C1,0,1,0
I1a_pyridinium,[H]C1C=[N+](CCCCCc2ccccc2)C=C(C(N)=O)C1,1,1,0
I1b_pyridinium,CC1C=[N+](CCCCCc2ccccc2)C=C(C(N)=O)C1,1,1,0
I2a_pyridinium,[H]C1C=[N+](CCCCCc2ccccc2)C=C(C#N)C1,1,1,0
I2b_pyridinium,CC1C=[N+](CCCCCc2ccccc2)C=C(C#N)C1,1,1,0
I5a_pyridinium,[H]C1C=[N+](CCCCCc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
I5b_pyridinium,CC1C=[N+](CCCCCc2ccccc2)C=C(C(=O)[O-])C1,0,1,0
I3a_pyridinium,[H]C1C=[N+](CCCCCc2ccccc2)C=C(C(C)=O)C1,1,1,0
I3b_pyridinium,CC(=O)C1=C[N+](CCCCCc2ccccc2)=CC(C)C1,1,1,0
I4a_pyridinium,[H]C1C=[N+](CCCCCc2ccccc2)C=C(C=O)C1,1,1,0
I4b_pyridinium,CC1C=[N+](CCCCCc2ccccc2)C=C(C=O)C1,1,1,0
I6a_pyridinium,[H]C1C=[N+](CCCCCc2ccccc2)C=C(C(=O)OC)C1,1,1,0
I6b_pyridinium,COC(=O)C1=C[N+](CCCCCc2ccccc2)=CC(C)C1,1,1,0
A1a_reduced,[H]C1=CN(C)C=C(C(N)=O)C1,0,1,0
A1b_reduced,CC1=CN(C)C=C(C(N)=O)C1,0,1,0
A2a_reduced,[H]C1=CN(C)C=C(C#N)C1,0,1,0
A2b_reduced,CC1=CN(C)C=C(C#N)C1,0,1,0
A5a_reduced,[H]C1=CN(C)C=C(C(=O)[O-])C1,-1,1,0
A5b_reduced,CC1=CN(C)C=C(C(=O)[O-])C1,-1,1,0
A3a_reduced,[H]C1=CN(C)C=C(C(C)=O)C1,0,1,0
A3b_reduced,CC(=O)C1=CN(C)C=C(C)C1,0,1,0
A4a_reduced,[H]C1=CN(C)C=C(C=O)C1,0,1,0
A4b_reduced,CC1=CN(C)C=C(C=O)C1,0,1,0
A6a_reduced,[H]C1=CN(C)C=C(C(=O)OC)C1,0,1,0
A6b_reduced,COC(=O)C1=CN(C)C=C(C)C1,0,1,0
B1a_reduced,[H]C1=CN(CCCC)C=C(C(N)=O)C1,0,1,0
B1b_reduced,CCCCN1C=C(C)CC(C(N)=O)=C1,0,1,0
B2a_reduced,[H]C1=CN(CCCC)C=C(C#N)C1,0,1,0
B2b_reduced,CCCCN1C=C(C)CC(C#N)=C1,0,1,0
B5a_reduced,[H]C1=CN(CCCC)C=C(C(=O)[O-])C1,-1,1,0
B5b_reduced,CCCCN1C=C(C)CC(C(=O)[O-])=C1,-1,1,0
B3a_reduced,[H]C1=CN(CCCC)C=C(C(C)=O)C1,0,1,0
B3b_reduced,CCCCN1C=C(C)CC(C(C)=O)=C1,0,1,0
B4a_reduced,[H]C1=CN(CCCC)C=C(C=O)C1,0,1,0
B4b_reduced,CCCCN1C=C(C)CC(C=O)=C1,0,1,0
B6a_reduced,[H]C1=CN(CCCC)C=C(C(=O)OC)C1,0,1,0
B6b_reduced,CCCCN1C=C(C)CC(C(=O)OC)=C1,0,1,0
D1a_reduced,[H]C1=CN(CCCCCCCC)C=C(C(N)=O)C1,0,1,0
D1b_reduced,CCCCCCCCN1C=C(C)CC(C(N)=O)=C1,0,1,0
D2a_reduced,[H]C1=CN(CCCCCCCC)C=C(C#N)C1,0,1,0
D2b_reduced,CCCCCCCCN1C=C(C)CC(C#N)=C1,0,1,0
D5a_reduced,[H]C1=CN(CCCCCCCC)C=C(C(=O)[O-])C1,-1,1,0
D5b_reduced,CCCCCCCCN1C=C(C)CC(C(=O)[O-])=C1,-1,1,0
D3a_reduced,[H]C1=CN(CCCCCCCC)C=C(C(C)=O)C1,0,1,0
D3b_reduced,CCCCCCCCN1C=C(C)CC(C(C)=O)=C1,0,1,0
D4a_reduced,[H]C1=CN(CCCCCCCC)C=C(C=O)C1,0,1,0
D4b_reduced,CCCCCCCCN1C=C(C)CC(C=O)=C1,0,1,0
D6a_reduced,[H]C1=CN(CCCCCCCC)C=C(C(=O)OC)C1,0,1,0
D6b_reduced,CCCCCCCCN1C=C(C)CC(C(=O)OC)=C1,0,1,0
C1a_reduced,[H]C1=CN(CCCCO)C=C(C(N)=O)C1,0,1,0
C1b_reduced,CC1=CN(CCCCO)C=C(C(N)=O)C1,0,1,0
C2a_reduced,[H]C1=CN(CCCCO)C=C(C#N)C1,0,1,0
C2b_reduced,CC1=CN(CCCCO)C=C(C#N)C1,0,1,0
C5a_reduced,[H]C1=CN(CCCCO)C=C(C(=O)[O-])C1,-1,1,0
C5b_reduced,CC1=CN(CCCCO)C=C(C(=O)[O-])C1,-1,1,0
C3a_reduced,[H]C1=CN(CCCCO)C=C(C(C)=O)C1,0,1,0
C3b_reduced,CC(=O)C1=CN(CCCCO)C=C(C)C1,0,1,0
C4a_reduced,[H]C1=CN(CCCCO)C=C(C=O)C1,0,1,0
C4b_reduced,CC1=CN(CCCCO)C=C(C=O)C1,0,1,0
C6a_reduced,[H]C1=CN(CCCCO)C=C(C(=O)OC)C1,0,1,0
C6b_reduced,COC(=O)C1=CN(CCCCO)C=C(C)C1,0,1,0
E1a_reduced,[H]C1=CN(c2ccccc2)C=C(C(N)=O)C1,0,1,0
E1b_reduced,CC1=CN(c2ccccc2)C=C(C(N)=O)C1,0,1,0
E2a_reduced,[H]C1=CN(c2ccccc2)C=C(C#N)C1,0,1,0
E2b_reduced,CC1=CN(c2ccccc2)C=C(C#N)C1,0,1,0
E5a_reduced,[H]C1=CN(c2ccccc2)C=C(C(=O)[O-])C1,-1,1,0
E5b_reduced,CC1=CN(c2ccccc2)C=C(C(=O)[O-])C1,-1,1,0
E3a_reduced,[H]C1=CN(c2ccccc2)C=C(C(C)=O)C1,0,1,0
E3b_reduced,CC(=O)C1=CN(c2ccccc2)C=C(C)C1,0,1,0
E4a_reduced,[H]C1=CN(c2ccccc2)C=C(C=O)C1,0,1,0
E4b_reduced,CC1=CN(c2ccccc2)C=C(C=O)C1,0,1,0
E6a_reduced,[H]C1=CN(c2ccccc2)C=C(C(=O)OC)C1,0,1,0
E6b_reduced,COC(=O)C1=CN(c2ccccc2)C=C(C)C1,0,1,0
J1a_reduced,[H]C1=CN(c2ccc(O)cc2)C=C(C(N)=O)C1,0,1,0
J1b_reduced,CC1=CN(c2ccc(O)cc2)C=C(C(N)=O)C1,0,1,0
J2a_reduced,[H]C1=CN(c2ccc(O)cc2)C=C(C#N)C1,0,1,0
J2b_reduced,CC1=CN(c2ccc(O)cc2)C=C(C#N)C1,0,1,0
J5a_reduced,[H]C1=CN(c2ccc(O)cc2)C=C(C(=O)[O-])C1,-1,1,0
J5b_reduced,CC1=CN(c2ccc(O)cc2)C=C(C(=O)[O-])C1,-1,1,0
J3a_reduced,[H]C1=CN(c2ccc(O)cc2)C=C(C(C)=O)C1,0,1,0
