Cofactor,LUMO,dG_C4,dG_C5,N1_NBO-q,Nsub_NBO-q,C2_NBO-q,C3_NBO-q,C3sub_NBO-q,C4_NBO-q,C5_NBO-q,C6_NBO-q,N1_f+,Nsub_f+,C2_f+,C3_f+,C4_f+,C5_f+,C6_f+,N1_f-,Nsub_f-,C2_f-,C3_f-,C3sub_f-,C4_f-,C5_f-,C6_f-,C4H_f-,C4H_f+,C4H_NBO-q,Set
J4b,-0.0384,-51.60027597,-121.2346218,-0.35523,0.10123,0.11504,-0.22757,0.35539,-0.46836,0.01323,-0.06865,0.02234,-0.01329,0.24118,-0.00457,-0.00868,0.09444,0.00886,0.14375,-0.01355,-0.02571,0.16646,0.01552,-0.04478,0.1351,0.04239,0.067585,0.021745,0.22977,Training
J6a,-0.0197,-48.31394418,-129.1241891,-0.37511,0.10502,0.09893,-0.23691,0.74538,-0.45919,-0.22748,-0.04894,0.00671,-0.01113,0.26089,0.05734,-0.0118,0.11391,0.03278,0.16239,-0.01592,-0.02266,0.18736,-0.00577,-0.04879,0.15019,0.02438,0.07206,0.02104,0.22712,Validation
J6b,-0.047,-47.61239919,-125.8294166,-0.36532,0.10568,0.09388,-0.23905,0.7431,-0.4545,0.00011,-0.06412,0.01204,-0.0098,0.25911,0.04785,-0.01263,0.09593,0.02112,0.1564,-0.01873,-0.02492,0.1844,-0.00344,-0.04989,0.14182,0.03677,0.07179,0.021065,0.22411,Training
F1a,-0.0498,-45.28019231,-133.2799529,-0.37839,-0.24517,0.08439,-0.23521,0.61999,-0.47242,-0.24034,-0.04657,0.00395,-0.00424,0.2373,0.07655,-0.01557,0.13899,0.05379,0.193,-0.01784,-0.01741,0.22657,-0.01754,-0.06072,0.1792,0.03043,0.085685,0.02214,0.221955,Validation
F1b,-0.0377,-44.29459848,-129.7588417,-0.36815,-0.24463,0.08476,-0.24252,0.6194,-0.46814,-0.01055,-0.06138,0.0108,-0.00416,0.23864,0.06862,-0.017,0.11644,0.04055,0.18339,-0.01733,-0.02281,0.22325,-0.01553,-0.06149,0.16471,0.04246,0.08372,0.02221,0.2195,Training
F2a,-0.0306,-50.53571212,-130.0328508,-0.3682,-0.24553,0.1028,-0.27218,0.32399,-0.44347,-0.23665,-0.04875,0.00334,-0.00557,0.24803,0.09583,-0.01417,0.13964,0.05586,0.19076,-0.01664,-0.01459,0.2157,-0.02265,-0.05405,0.17771,0.03287,0.08199,0.022305,0.22683,Training
F2b,-0.0161,-50.01702071,-126.1609668,-0.36318,-0.24467,0.10271,-0.28085,0.32428,-0.43927,-0.00756,-0.06248,0.01091,-0.00451,0.24837,0.0909,-0.01698,0.12872,0.05014,0.17923,-0.01699,-0.01933,0.21552,-0.02157,-0.05594,0.16544,0.04743,0.08148,0.02364,0.22427,Training
F5a,-0.0159,-37.08859667,-139.3054184,-0.39539,-0.24557,0.03802,-0.23453,0.71875,-0.46332,-0.26042,-0.04678,-0.00602,-0.0055,0.16633,0.09869,-0.01455,0.12693,0.06535,0.2031,-0.01857,-0.00441,0.2253,-0.02207,-0.06086,0.1827,0.02095,0.08697,0.018435,0.214765,Training
F3a,-0.0129,-48.48626598,-129.9658568,-0.36469,-0.24566,0.10522,-0.23279,0.5345,-0.46285,-0.22403,-0.0553,0.0228,-0.0043,0.24691,0.00665,-0.01047,0.12137,0.0226,0.17822,-0.0167,-0.02253,0.21338,0.00489,-0.05633,0.16933,0.03987,0.084255,0.02204,0.224265,Training
F3b,-0.0448,-45.92914524,-128.4224078,-0.34979,-0.24499,0.1156,-0.25593,0.5393,-0.46105,0.00608,-0.07006,0.03145,-0.00436,0.25348,0.00034,-0.01246,0.10486,0.01212,0.16415,-0.01569,-0.02519,0.2231,0.00258,-0.05989,0.14786,0.04816,0.082445,0.02215,0.222515,Training
F4a,-0.0457,-51.96672588,-125.7867675,-0.35731,-0.24552,0.12154,-0.2374,0.35338,-0.47089,-0.21436,-0.05717,0.02361,-0.00442,0.24137,-0.00065,-0.00954,0.1303,0.02403,0.17085,-0.01596,-0.02257,0.20406,0.01254,-0.052,0.16365,0.04386,0.08153,0.02365,0.22961,Training
F4b,-0.0369,-50.53712533,-122.0829473,-0.34559,-0.24495,0.12036,-0.24156,0.35009,-0.4674,0.01295,-0.07269,0.03125,-0.00433,0.24032,-0.00666,-0.01089,0.11304,0.01361,0.15837,-0.01524,-0.02559,0.19775,0.0152,-0.05263,0.15229,0.05859,0.0793,0.0246,0.22755,Training
F6a,-0.0273,-46.81149987,-131.4566066,-0.37024,-0.24542,0.09884,-0.2494,0.74245,-0.45739,-0.23116,-0.05216,0.01255,-0.0042,0.24865,0.05121,-0.01286,0.13517,0.04038,0.18492,-0.01738,-0.02058,0.22213,-0.00784,-0.05756,0.17451,0.03849,0.08614,0.02249,0.22369,Training
F6b,-0.015,-46.09154799,-127.4758182,-0.35944,-0.24476,0.09849,-0.25583,0.74102,-0.45321,-0.00225,-0.06724,0.02011,-0.00419,0.24924,0.04348,-0.01432,0.11501,0.02817,0.17381,-0.01651,-0.02509,0.21699,-0.00549,-0.05843,0.16066,0.05193,0.08395,0.022805,0.22141,Training
G1a,-0.0333,-42.92068932,-135.1883452,-0.3867,-0.21107,0.09283,-0.24184,0.62013,-0.47224,-0.2416,-0.04643,0.00468,-0.00662,0.24223,0.0744,-0.01557,0.14043,0.05403,0.19203,-0.0209,-0.02144,0.22793,-0.01749,-0.06042,0.17384,0.02576,0.08453,0.023165,0.22094,Validation
G1b,-0.0453,-42.53138257,-130.999828,-0.3777,-0.21098,0.09281,-0.24773,0.61977,-0.46853,-0.01196,-0.06091,0.01232,-0.00672,0.24399,0.06638,-0.01719,0.11569,0.0395,0.18432,-0.02026,-0.02676,0.22348,-0.01561,-0.06157,0.16114,0.037,0.082895,0.02344,0.218745,Training
G2a,-0.0422,-49.13115846,-130.6958047,-0.3811,-0.21122,0.11099,-0.28095,0.32477,-0.44275,-0.23916,-0.04685,0.00432,-0.00713,0.24902,0.09786,-0.01517,0.15377,0.06473,0.18845,-0.02061,-0.01809,0.22102,-0.02334,-0.05473,0.17429,0.02911,0.082365,0.02416,0.225335,Validation
G2b,-0.0438,-48.63501444,-127.1032326,-0.37169,-0.21068,0.10965,-0.2868,0.32499,-0.43921,-0.00969,-0.06195,0.01165,-0.00708,0.25162,0.09203,-0.01693,0.12857,0.05039,0.17975,-0.01986,-0.02278,0.21687,-0.02176,-0.05595,0.16184,0.04172,0.080835,0.024705,0.22304,Training
G5a,-0.0466,-34.58466261,-140.1381113,-0.40321,-0.21025,0.03814,-0.23053,0.71813,-0.4625,-0.27482,-0.03672,-0.00704,-0.00648,0.23729,0.12063,-0.01677,0.14882,0.07116,0.203,-0.02218,-0.00824,0.211,-0.01978,-0.06081,0.19564,0.01767,0.0865,0.02335,0.212595,Training
G5b,-0.035,-34.47375255,-136.7543693,-0.39521,-0.21008,0.04993,-0.25003,0.71931,-0.45784,-0.03014,-0.06063,-0.0004,-0.00486,0.18892,0.10033,-0.01566,0.09914,0.04701,0.19674,-0.02155,-0.01589,0.22606,-0.02089,-0.06202,0.1627,0.02622,0.084555,0.0203,0.210615,Training
G3a,-0.0304,-47.63528081,-130.3073681,-0.37366,-0.2122,0.11362,-0.23859,0.53346,-0.46305,-0.2271,-0.05462,0.02264,-0.00707,0.2417,0.00264,-0.0101,0.12046,0.02266,0.17738,-0.01925,-0.02709,0.21361,0.00537,-0.05601,0.16597,0.0355,0.08308,0.022585,0.223365,Training
G4a,-0.0452,-50.33528814,-126.6577383,-0.36596,-0.21301,0.12176,-0.23356,0.35235,-0.47054,-0.22707,-0.04783,0.02283,-0.00818,0.24719,-0.00296,-0.0092,0.13032,0.02066,0.16923,-0.01774,-0.02399,0.18912,0.01511,-0.0519,0.17696,0.04146,0.081,0.02384,0.22799,Training
G4b,-0.0424,-48.97449889,-123.8408843,-0.35519,-0.21232,0.12605,-0.2445,0.34847,-0.46793,0.0098,-0.07159,0.03173,-0.00764,0.23627,-0.00938,-0.01074,0.11245,0.01378,0.15947,-0.01781,-0.02914,0.19646,0.0159,-0.05258,0.15171,0.05414,0.07856,0.025255,0.22682,Training
G6a,-0.0468,-44.81385424,-133.2294503,-0.38447,-0.21322,0.10869,-0.25317,0.74484,-0.45887,-0.23372,-0.05186,0.01198,-0.00726,0.24451,0.04927,-0.01241,0.13074,0.04029,0.18643,-0.0194,-0.02623,0.21917,-0.00793,-0.05677,0.16943,0.03348,0.08425,0.023115,0.223665,Training
G6b,-0.0438,-44.49215519,-129.3385523,-0.36781,-0.2114,0.09835,-0.25258,0.74,-0.45236,-0.01495,-0.05619,0.02046,-0.00766,0.26212,0.04136,-0.01422,0.11493,0.02366,0.17139,-0.01836,-0.02569,0.20257,-0.0032,-0.05855,0.17178,0.0481,0.083195,0.023275,0.21939,Validation
H1a,-0.0372,-43.79716838,-134.6306638,-0.38298,-0.22387,0.09349,-0.24652,0.6195,-0.4706,-0.241,-0.04787,0.00509,-0.00532,0.23868,0.07216,-0.01571,0.14686,0.05715,0.19369,-0.02103,-0.02362,0.23187,-0.01694,-0.06093,0.17589,0.02595,0.085305,0.02335,0.219985,Training
H1b,-0.035,-42.18478469,-131.8831679,-0.36517,-0.22328,0.08633,-0.24492,0.61783,-0.4666,-0.01613,-0.05967,0.01422,-0.00555,0.2646,0.06607,-0.01721,0.11989,0.03988,0.18605,-0.01889,-0.02386,0.21953,-0.0139,-0.06104,0.16628,0.03808,0.08279,0.023625,0.217605,Training
H2b,-0.0526,-47.54344649,-127.8460982,-0.3687,-0.22398,0.11006,-0.2914,0.32535,-0.43812,-0.00843,-0.0637,0.01237,-0.00595,0.24851,0.08999,-0.01728,0.13391,0.054,0.1813,-0.01988,-0.0245,0.22059,-0.02182,-0.05624,0.16235,0.04165,0.08139,0.02507,0.22241,Training
H5a,-0.0432,-35.42739497,-140.9018833,-0.39917,-0.21886,0.03615,-0.23232,0.71794,-0.46173,-0.27545,-0.04036,-0.00742,-0.00526,0.24792,0.12268,-0.01677,0.15283,0.0739,0.20607,-0.02133,-0.00768,0.21485,-0.02,-0.0608,0.19603,0.01655,0.08651,0.02385,0.212315,Training
H5b,-0.0391,-34.30416966,-137.2334134,-0.38818,-0.21714,0.05901,-0.2519,0.71773,-0.4583,-0.02859,-0.05412,-0.00167,-0.00261,0.13601,0.0732,-0.01368,0.09806,0.04884,0.19139,-0.02245,-0.02004,0.23256,-0.02131,-0.06439,0.16538,0.02312,0.085755,0.016695,0.209065,Validation
H3a,-0.0508,-46.60222848,-132.1528807,-0.36992,-0.22247,0.12259,-0.24227,0.53392,-0.46411,-0.22435,-0.05193,0.022,-0.00601,0.23419,0.0003,-0.01059,0.1248,0.02237,0.17817,-0.01984,-0.03056,0.21637,0.00636,-0.05741,0.16604,0.03198,0.08332,0.022555,0.22309,Training
H4a,-0.0358,-50.68662548,-126.6705391,-0.36439,-0.22358,0.13725,-0.24477,0.35286,-0.47224,-0.21638,-0.0538,0.02299,-0.0065,0.23131,-0.00576,-0.01007,0.13352,0.0243,0.17251,-0.01894,-0.03023,0.20428,0.01288,-0.05296,0.16214,0.03579,0.080625,0.02445,0.228365,Validation
H4b,-0.0312,-50.12739773,-123.4763476,-0.35279,-0.22315,0.13472,-0.24797,0.34976,-0.46963,0.01254,-0.06859,0.03098,-0.00664,0.22835,-0.01111,-0.01165,0.11527,0.01312,0.16049,-0.01816,-0.03245,0.19808,0.01564,-0.05367,0.1514,0.04931,0.078415,0.02532,0.22662,Training
H6a,-0.0414,-45.05112688,-133.2837787,-0.37658,-0.22229,0.12063,-0.26361,0.74765,-0.45816,-0.2331,-0.04897,0.01198,-0.0059,0.23833,0.04467,-0.01289,0.13742,0.04129,0.18587,-0.02065,-0.02924,0.22809,-0.00912,-0.05945,0.17085,0.0302,0.08515,0.02279,0.222885,Validation
K1a,-0.0314,-43.1462727,-132.7667064,-0.39279,-0.21175,0.09382,-0.23869,0.62335,-0.47419,-0.24011,-0.04638,0.0021,-0.00494,0.1794,0.06352,-0.01235,0.10304,0.0371,0.19489,-0.02034,-0.02323,0.22434,-0.01804,-0.05993,0.17241,0.02479,0.083615,0.01846,0.222545,Training
K1b,-0.0299,-41.67666779,-129.6773516,-0.38413,-0.21158,0.09433,-0.24456,0.62301,-0.47052,-0.01049,-0.06089,-0.00092,0.00537,0.00499,0.01524,-0.00206,0.01072,-0.00254,0.18723,-0.01973,-0.02874,0.21961,-0.01611,-0.06126,0.16061,0.03629,0.08215,0.00425,0.220375,Training
K2a,-0.0432,-49.26628019,-131.5836123,-0.38226,-0.21087,0.11034,-0.2797,0.32511,-0.44314,-0.23854,-0.04689,0.00337,-0.00604,0.21028,0.08647,-0.01304,0.12697,0.04973,0.18914,-0.0206,-0.01808,0.22004,-0.02333,-0.05479,0.17435,0.02917,0.08246,0.020725,0.22558,Training
K2b,-0.0358,-47.7772225,-127.8794801,-0.37204,-0.2106,0.10271,-0.2778,0.32411,-0.43862,-0.01919,-0.05201,-0.00064,-0.00199,0.08309,0.03264,-0.00727,0.06416,0.01834,0.17646,-0.01894,-0.02087,0.20078,-0.01966,-0.05625,0.1764,0.04424,0.080845,0.01067,0.22245,Training
K5a,-0.0321,-33.9659481,-142.7549945,-0.39582,-0.20834,0.03647,-0.23127,0.71875,-0.46377,-0.26407,-0.04715,0.00234,0.00646,0.00054,0.00744,-0.00146,0.0051,-0.00166,0.20638,-0.02251,-0.00495,0.21576,-0.02064,-0.05924,0.18391,0.01945,0.084805,0.00238,0.214785,Training
K5b,-0.0443,-33.5530525,-138.7314652,-0.39621,-0.20957,0.03975,-0.23742,0.71814,-0.45805,-0.04152,-0.0498,-0.00187,0.00547,-0.00271,0.00613,-0.0011,0.01143,-0.0062,0.19584,-0.0212,-0.0158,0.20766,-0.01845,-0.06183,0.1794,0.02853,0.084495,0.00289,0.21049,Training
K3a,-0.0277,-45.66171375,-132.1195481,-0.37493,-0.21178,0.11285,-0.23759,0.53443,-0.46335,-0.22728,-0.05468,0.02136,-0.00693,0.23652,0.00424,-0.01001,0.11729,0.02177,0.17779,-0.01934,-0.02686,0.21328,0.00504,-0.05618,0.16618,0.03539,0.08309,0.022125,0.22355,Validation
K3b,-0.0454,-45.0096586,-128.4931359,-0.36424,-0.21146,0.11218,-0.24204,0.53167,-0.45944,0.00078,-0.06977,0.02812,-0.00692,0.23087,-0.00158,-0.01128,0.09962,0.01155,0.16758,-0.01862,-0.03055,0.20766,0.00765,-0.05711,0.1545,0.04841,0.081035,0.02229,0.221485,Training
K4a,-0.0276,-49.7790745,-127.660983,-0.3677,-0.21203,0.1283,-0.24057,0.35237,-0.47132,-0.21799,-0.05615,0.02257,-0.00744,0.23446,-0.00226,-0.00931,0.12793,0.02399,0.17083,-0.01863,-0.0265,0.20289,0.01278,-0.05197,0.16231,0.0398,0.080725,0.0239,0.228875,Validation
K4b,-0.0471,-48.21674117,-124.5607821,-0.35578,-0.21181,0.12552,-0.24414,0.34917,-0.46791,0.00968,-0.07161,0.0304,-0.00748,0.2324,-0.00809,-0.01055,0.11049,0.01338,0.15967,-0.01793,-0.02897,0.1963,0.01561,-0.05263,0.15209,0.05413,0.078645,0.02472,0.22685,Training
K6a,-0.0401,-44.87540141,-133.127053,-0.38224,-0.21203,0.10785,-0.25455,0.74468,-0.45767,-0.23603,-0.05183,0.01015,-0.00584,0.21094,0.04481,-0.01054,0.1097,0.0296,0.18437,-0.01978,-0.02509,0.22204,-0.00829,-0.05706,0.17035,0.03327,0.08425,0.019905,0.22301,Training
K6b,-0.0115,-43.86089108,-129.9133112,-0.37377,-0.21173,0.10735,-0.25878,0.74383,-0.45435,-0.00644,-0.0666,0.0152,-0.00531,0.20202,0.03882,-0.01158,0.09029,0.01906,0.17628,-0.01901,-0.02976,0.21525,-0.00608,-0.05817,0.15846,0.04608,0.082555,0.019565,0.221075,Training
I1a,-0.037,-44.0910737,-134.2494725,-0.38072,-0.21651,0.08714,-0.2423,0.61966,-0.47322,-0.24457,-0.04419,0.00522,-0.00601,0.24389,0.06934,-0.01546,0.14284,0.05585,0.19404,-0.01988,-0.02252,0.22791,-0.01689,-0.06211,0.17887,0.02525,0.08443,0.02303,0.220955,Training
I1b,-0.0286,-44.22080496,-130.7000937,-0.37229,-0.21548,0.08723,-0.24048,0.6194,-0.46825,-0.02263,-0.05451,0.01254,-0.00619,0.25711,0.05996,-0.01686,0.11496,0.033,0.18477,-0.01859,-0.02563,0.21538,-0.01412,-0.06327,0.17226,0.03544,0.083575,0.022585,0.217625,Training
I2b,-0.0432,-48.36109541,-128.2620268,-0.36849,-0.21706,0.10505,-0.28549,0.32776,-0.44247,-0.0091,-0.06514,0.01576,-0.00593,0.26001,0.08816,-0.01692,0.12931,0.05046,0.18299,-0.01858,-0.02274,0.21492,-0.02198,-0.05665,0.16434,0.04301,0.0799,0.024265,0.22541,Training
I5b,-0.015,-34.33303609,-138.0720688,-0.38834,-0.21917,0.05154,-0.25725,0.72573,-0.45638,-0.03014,-0.06106,0.00299,-0.00367,0.21919,0.08874,-0.01654,0.11597,0.05387,0.19532,-0.02222,-0.01745,0.23359,-0.0217,-0.06365,0.16378,0.02439,0.08543,0.02152,0.208975,Training
I3a,-0.0567,-46.37542316,-131.2811372,-0.36888,-0.21781,0.10811,-0.23951,0.53982,-0.46349,-0.22679,-0.05623,0.0259,-0.00614,0.2424,-0.00116,-0.01015,0.12024,0.0215,0.18079,-0.01825,-0.0273,0.21286,0.00573,-0.05686,0.16775,0.03558,0.083365,0.022185,0.22388,Training
I3b,-0.0352,-46.57456204,-127.3583079,-0.35805,-0.21743,0.10669,-0.24373,0.5374,-0.46023,0.00134,-0.07153,0.03397,-0.00613,0.24137,-0.00745,-0.01157,0.10337,0.01185,0.16987,-0.0175,-0.03031,0.20701,0.0081,-0.0577,0.15546,0.04906,0.08103,0.02255,0.222125,Training
I4a,-0.046,-46.56426483,-131.5185108,-0.36004,-0.21902,0.12749,-0.26985,0.37372,-0.46247,-0.21725,-0.05911,0.03216,-0.00639,0.24583,-0.01167,-0.00848,0.1126,0.01672,0.17214,-0.01725,-0.02535,0.22557,0.00377,-0.05547,0.15454,0.03584,0.08206,0.022405,0.225735,Training
I6b,-0.0353,-45.94286721,-128.576783,-0.3646,-0.21721,0.10069,-0.26121,0.74637,-0.45371,-0.00523,-0.06838,0.02422,-0.00609,0.25144,0.0361,-0.01406,0.11396,0.0271,0.17757,-0.01841,-0.02868,0.2169,-0.00551,-0.05918,0.15965,0.04701,0.083275,0.023165,0.22106,Training
H2a,-0.0413,-48.87176166,-130.681504,-0.37925,-0.22148,0.12005,-0.28817,0.32911,-0.44293,-0.23845,-0.04331,0.00215,-0.00563,0.23492,0.09072,-0.01541,0.1607,0.06792,0.19055,-0.02132,-0.02258,0.22395,-0.02462,-0.05621,0.17674,0.02581,0.083155,0.02384,0.22424,Test
H6b,-0.0445,-44.23142752,-129.5788291,-0.36541,-0.22453,0.10727,-0.26503,0.74055,-0.45229,-0.00337,-0.06812,0.02147,-0.00616,0.2452,0.0388,-0.01424,0.11876,0.03061,0.1754,-0.01945,-0.03047,0.22083,-0.00444,-0.05846,0.15818,0.04671,0.083525,0.02402,0.219805,Test
A6a,-0.0298,-45.2383575,-132.5101163,-0.36293,-0.4236,0.10898,-0.26235,0.73961,-0.45656,-0.22934,-0.05171,0.01584,-0.00292,0.26428,0.04724,-0.01337,0.14608,0.04625,0.1826,-0.02012,-0.02205,0.2321,-0.0072,-0.05811,0.16764,0.03422,0.085145,0.023445,0.222545,Test
J3a,-0.0216,-47.90377026,-129.3902482,-0.37098,0.10343,0.10001,-0.21816,0.53799,-0.46413,-0.22087,-0.05207,0.0155,-0.01275,0.25091,0.00866,-0.00886,0.10228,0.0177,0.15765,-0.0146,-0.02423,0.17795,0.00659,-0.04731,0.14745,0.02632,0.07078,0.020115,0.226855,Test
I6a,-0.0383,-46.45241177,-132.214253,-0.37456,-0.21723,0.10186,-0.25617,0.74726,-0.45719,-0.23425,-0.05303,0.01561,-0.00595,0.25019,0.04396,-0.01273,0.13603,0.04034,0.18797,-0.01908,-0.02498,0.22237,-0.00769,-0.05837,0.17273,0.0341,0.08543,0.02296,0.22282,Test
I5a,-0.0301,-35.39173164,-141.2410738,-0.40061,-0.21675,0.04419,-0.24222,0.72478,-0.46348,-0.26225,-0.0484,-0.00386,-0.00521,0.22002,0.1095,-0.01625,0.14765,0.07707,0.20679,-0.02062,-0.00965,0.22723,-0.02249,-0.06165,0.17936,0.01695,0.086145,0.02256,0.214065,Test
H3b,-0.0528,-46.39724548,-127.7789505,-0.35699,-0.22437,0.11192,-0.24619,0.52784,-0.45809,0.00428,-0.07187,0.03209,-0.00605,0.24212,-0.00415,-0.01212,0.10992,0.01438,0.16678,-0.01882,-0.03024,0.21214,0.00932,-0.05714,0.15298,0.04819,0.08153,0.023835,0.2206,Test
F5b,-0.0492,-35.63949,-135.9623075,-0.38752,-0.24531,0.04023,-0.24174,0.71878,-0.45822,-0.03066,-0.0602,-0.00223,-0.00708,0.09717,0.06296,-0.01134,0.07239,0.03258,0.19653,-0.01815,-0.01237,0.22193,-0.0204,-0.06197,0.16964,0.03181,0.08537,0.01224,0.211855,Test
I2a,-0.03,-48.86339204,-131.2454332,-0.37819,-0.21638,0.10621,-0.27464,0.32552,-0.44263,-0.24929,-0.04113,0.00379,-0.00673,0.26357,0.09395,-0.01521,0.15403,0.05819,0.19189,-0.01927,-0.01794,0.21195,-0.02267,-0.05671,0.18856,0.02789,0.083235,0.0237,0.224655,Test
G3b,-0.0375,-45.48320912,-128.9852731,-0.36191,-0.21213,0.10433,-0.23477,0.53036,-0.45879,-0.00763,-0.05958,0.03027,-0.00789,0.25184,-0.00234,-0.01153,0.10504,0.00922,0.16435,-0.01745,-0.02734,0.19397,0.01005,-0.05696,0.16692,0.04993,0.081235,0.0227,0.22035,Test
E3b,-0.0325,-48.53555625,-124.9311724,-0.36133,0.14163,0.10751,-0.23257,0.54722,-0.46387,0.00895,-0.06713,0.01462,-0.00509,0.25275,0.00611,-0.00989,0.07758,0.00714,0.15495,-0.03055,-0.02403,0.19156,0.00217,-0.0535,0.14085,0.04248,0.074255,0.018745,0.2266,Test
I4b,-0.0447,-51.07510212,-122.4584379,-0.35047,-0.21797,0.12178,-0.24318,0.3504,-0.4701,0.01099,-0.07416,0.035,-0.00651,0.23854,-0.01253,-0.01095,0.11268,0.01276,0.16115,-0.01684,-0.02886,0.19509,0.01635,-0.05344,0.15194,0.05446,0.07843,0.024815,0.228265,Test
D6b,-0.0178,-44.10282659,-129.8707039,-0.36107,-0.21627,0.1032,-0.26354,0.73888,-0.45198,-0.00442,-0.06796,0.02338,-0.0061,0.25591,0.03798,-0.01436,0.11989,0.03052,0.17526,-0.01879,-0.02752,0.21968,-0.00405,-0.05833,0.15865,0.04669,0.08332,0.024,0.219625,Test
