code_name,dG_C5,C1=CNC=CC1_N_Dispersion coefficient C6,HOMO-LUMO gap/eV,Dipole module/D,LUMO,MinEStateIndex,SPS,NumValenceElectrons,BalabanJ,Chi4n,Kappa1,Kappa3,FractionCSP3,Set
BMC_001,-134.6943374,27.95161259,2.762251604,4.109593676,-6.477904772,-3.072042706,40.2,54,3.605772891,0.415345789,1.494888889,1.37283737,0.285714286,Training
BMC_002,-131.0621577,21.81695088,2.748524015,4.569306024,-6.373476222,-3.27262141,41.63636364,60,3.828104545,0.533747488,1.57798256,1.832447573,0.375,Training
BMC_003,-130.6636975,27.932,2.68426269,6.186,-6.8194,-2.903703704,40.11111111,46,3.534811136,0.367008497,1.431973462,1.327987601,0.285714286,Training
BMC_004,-126.8472424,21.905,2.67838379,6.332,-6.6773,-3.104282407,41.7,52,3.745469216,0.485410197,1.502841176,1.382160574,0.375,Validation
BMC_005,-140.867475,27.884,2.6435877,15.014,-1.8549,-3.05787037,37.8,54,3.588727736,0.41073223,1.87319002,1.37283737,0.285714286,Training
BMC_006,-137.7553888,23.219,2.69395009,15.966,-1.7945,-3.258449074,39.45454545,60,3.801144466,0.52913393,1.913755808,1.832447573,0.375,Training
BMC_007,-131.6128527,27.99346517,2.457166819,4.842514653,-6.953476973,-3.296423375,43.6,54,3.658304298,0.421595789,1.421253321,1.467165814,0.375,Training
BMC_008,-128.2432712,21.66195239,2.449601371,5.191858111,-6.838040796,-3.421848545,44.72727273,60,3.876009381,0.539997488,1.51322592,1.93423955,0.444444444,Training
BMC_009,-130.8688678,28.02093534,2.330769541,5.953295075,-7.238085877,-3.002314815,42.22222222,48,3.588727736,0.362394939,1.336587308,1.420257084,0.285714286,Training
BMC_010,-125.567917,21.59494525,2.323135967,6.194392457,-7.109688601,-3.202893519,43.6,54,3.801144466,0.480796638,1.421253321,1.467165814,0.375,Training
BMC_012,-128.5231382,21.67264947,2.546039625,4.067410643,-6.693862828,-3.337008102,41.66666667,66,3.743823783,0.580164966,1.811717452,1.87319002,0.444444444,Training
BMC_013,-135.0070946,27.89019365,2.753339625,4.029778914,-6.458856111,-3.982184193,43.84615385,72,3.861622821,0.555100037,1.763310608,2.933559813,0.5,Training
BMC_014,-132.1550827,21.98011766,2.73941609,4.446255968,-6.362468669,-4.107609363,44.71428571,78,4.095071955,0.673501737,1.861639897,2.9068,0.545454545,Training
BMC_015,-131.5169297,27.87732654,2.678914986,6.266089416,-6.788593407,-3.852430556,44.08333333,64,3.747929192,0.506762746,1.675532351,2.427060713,0.5,Training
BMC_016,-128.1304803,22.05615567,2.673365402,6.359926442,-6.658672853,-3.977855726,45.0,70,3.955568576,0.625164445,1.770337667,2.9454304,0.545454545,Training
BMC_017,-140.9289558,27.83249175,2.587411065,19.56044314,-1.911663283,-3.967037509,42.0,72,3.805065409,0.550486479,2.047860307,2.933559813,0.5,Training
BMC_018,-137.7867638,23.2596777,2.637046101,19.51851135,-1.853608099,-4.09246268,43.0,78,4.022311576,0.668888178,2.129659735,2.9068,0.545454545,Validation
BMC_019,-133.1344808,27.95492717,2.413207795,5.311191189,-6.953741085,-4.025471821,46.46153846,72,3.910032655,0.561350037,1.709617708,3.052957684,0.545454545,Training
BMC_020,-128.9028692,21.8228137,2.43005101,5.189001114,-6.826404373,-4.150896991,47.14285714,78,4.147366269,0.679751737,1.811606432,3.018852208,0.583333333,Training
BMC_021,-128.8471929,27.95704453,2.316895409,5.818917101,-7.215829578,-3.926221183,45.66666667,66,3.805065409,0.502149187,1.609850535,2.530899543,0.5,Training
BMC_022,-123.6353216,21.73835802,2.305654021,6.21455481,-7.09305463,-4.051646353,46.46153846,72,4.022311576,0.620550887,1.709617708,3.052957684,0.545454545,Training
BMC_023,-133.1842389,27.96210684,2.544396154,3.769173405,-6.794315632,-4.034497827,43.71428571,78,3.833161739,0.601517515,1.988895558,2.9068,0.545454545,Training
BMC_024,-129.9416957,21.82163961,2.534309181,4.076137401,-6.678990286,-4.159922997,44.53333333,84,4.079046905,0.719919215,2.084013169,3.422085934,0.583333333,Validation
BMC_025,-134.4758378,27.89747889,2.75896443,3.958965933,-6.46037639,-4.677826515,46.70588235,96,4.019201795,0.680100037,2.168654325,5.568986791,0.642857143,Validation
BMC_026,-131.7221079,21.94403517,2.734102574,4.394939933,-6.385294314,-4.774408896,47.22222222,102,4.194842139,0.798501737,2.273545706,5.388087188,0.666666667,Training
BMC_027,-131.3903008,27.8693997,2.673482842,6.285992625,-6.782503453,-4.59424241,47.0625,88,3.930651589,0.631762746,2.071386379,5.021289692,0.642857143,Validation
BMC_028,-128.1207745,22.09079807,2.676055767,6.435284939,-6.653481477,-4.674537549,47.58823529,94,4.075150063,0.750164445,2.175111387,5.583278568,0.666666667,Training
BMC_029,-141.4348934,27.83788313,2.586516522,27.76050621,-1.919701692,-4.66455491,45.29411765,96,3.970216631,0.675486479,2.404532696,5.568986791,0.642857143,Training
BMC_030,-138.3884581,23.21388164,2.609437324,21.15355542,-1.895474119,-4.759941303,45.88888889,102,4.126155399,0.793888178,2.502192405,5.388087188,0.666666667,Training
BMC_031,-132.1570431,27.93118172,2.445927856,4.770263631,-6.928020407,-4.709735804,48.70588235,96,4.054741179,0.686350037,2.125862938,5.712321928,0.666666667,Validation
BMC_032,-129.4574604,21.79022362,2.434183726,5.171490815,-6.817160041,-4.808986442,49.11111111,102,4.238002927,0.804751737,2.232406706,5.523625529,0.6875,Validation
BMC_033,-127.1578868,27.97212099,2.313573577,6.388405088,-7.212940638,-4.639863552,48.25,90,3.970216631,0.627149187,2.020068272,5.149761906,0.642857143,Training
BMC_034,-123.0531269,21.72689101,2.307307531,6.390262444,-7.085736418,-4.728691303,48.70588235,96,4.126155399,0.745550887,2.125862938,5.712321928,0.666666667,Training
BMC_035,-133.0679294,27.95354899,2.55237982,3.566378206,-6.780700041,-4.718503165,46.44444444,102,4.018394352,0.726517515,2.383762415,5.388087188,0.666666667,Training
BMC_037,-134.1968375,27.91622268,2.75795174,3.859282672,-6.492769783,-4.038434193,41.57142857,78,3.862523644,0.580615555,2.114428265,3.219517635,0.5,Training
BMC_038,-130.1276251,22.00540851,2.750535473,3.62955775,-6.423419436,-4.163859363,42.53333333,84,4.093232388,0.699017255,2.202602216,3.752763912,0.545454545,Training
BMC_039,-129.2166825,27.89921798,2.688484494,6.386611236,-6.811122321,-3.908680556,41.61538462,70,3.747224354,0.532278264,2.0399423,3.304994675,0.5,Training
BMC_040,-126.756695,22.07121398,2.685589803,6.684932204,-6.695786612,-4.034105726,42.64285714,76,3.951570771,0.650679963,2.122038094,3.23152806,0.545454545,Training
BMC_041,-139.4694081,27.80001082,2.959900352,14.23588782,-2.15287664,-4.023287509,39.85714286,78,3.80374804,0.576001997,2.442933048,3.219517635,0.5,Training
BMC_042,-136.1003039,23.32699955,2.914384839,15.57502088,-2.172898586,-4.14871268,40.93333333,84,4.017955271,0.694403696,2.509130516,3.752763912,0.545454545,Training
BMC_043,-130.4932975,27.94733291,2.457761651,5.125185735,-6.981533352,-4.081721821,44.0,78,3.91058651,0.586865555,2.046995741,3.34026473,0.545454545,Training
BMC_044,-127.9363957,21.81038319,2.427918776,4.647986269,-6.786976415,-4.207146991,44.8,84,4.145650419,0.705267255,2.140542475,3.876441402,0.583333333,Training
BMC_045,-125.7873665,27.97630435,2.324249237,6.539564385,-7.24886062,-3.982471183,43.07692308,72,3.80374804,0.527664706,1.957644674,3.421683215,0.5,Training
BMC_046,-121.9618407,21.74537018,2.317989218,6.000402651,-7.120449372,-4.107896353,44.0,78,4.017955271,0.646066405,2.046995741,3.34026473,0.545454545,Training
BMC_047,-132.3395143,27.97874472,2.546420806,4.180225374,-6.837503676,-4.090747827,41.6,84,3.840284835,0.627033033,2.348382974,3.752763912,0.545454545,Training
BMC_048,-128.7355153,21.79281169,2.530840807,4.472964712,-6.71874073,-4.216172997,42.5,90,4.08353563,0.745434733,2.433156689,3.697768289,0.583333333,Training
BMC_049,-129.4105786,27.88798305,2.716792783,4.034323951,-6.718833346,-2.990640944,31.33333333,76,2.927334666,0.882354286,2.755398246,2.07084884,0.083333333,Training
BMC_050,-126.1294028,21.66643331,2.678862293,4.518622511,-6.644958466,-3.339998465,32.875,82,3.060875908,1.000755985,2.800137565,2.13581438,0.153846154,Validation
BMC_051,-125.8520276,27.873,2.62290821,5.391,-7.0576,-2.673858536,30.64285714,68,2.907655734,0.834016994,2.739912069,1.66968449,0.083333333,Training
BMC_052,-122.7560995,21.742,2.59612464,5.505,-6.9562,-3.171659462,32.33333333,74,3.010525067,0.952418694,2.764616898,2.079168389,0.153846154,Training
BMC_053,-134.11683,27.917,1.55398183,17.044,-3.3779,-3.003140944,29.73333333,76,2.929973362,0.877740727,3.234388684,2.07084884,0.083333333,Training
BMC_054,-131.4662701,22.094,1.6074876,16.949,-3.3257,-3.325826129,31.375,82,3.043852928,0.996142427,3.230832667,2.13581438,0.153846154,Training
BMC_055,-127.542198,27.92627088,2.389852869,4.29254078,-7.185804943,-3.360857374,33.6,76,2.946604124,0.888604286,2.642333644,2.154662153,0.153846154,Training
BMC_057,-124.3435044,27.95277211,2.256090824,5.269991513,-7.464429973,-2.878140944,32.0,70,2.929973362,0.829403436,2.599223493,1.739915825,0.083333333,Training
BMC_058,-120.1858483,21.50966496,2.231124693,5.459645736,-7.362282287,-3.270270574,33.6,76,3.043852928,0.947805135,2.642333644,2.154662153,0.153846154,Training
BMC_059,-127.8462225,27.9513482,2.49489685,3.041473702,-7.045074953,-3.296478096,32.0,82,2.858248649,0.928771764,3.003941187,2.13581438,0.153846154,Training
BMC_060,-124.5832449,21.55965878,2.461964883,3.362569995,-6.958080076,-3.404385157,33.41176471,88,3.008209658,1.047173463,3.046016152,2.558584557,0.214285714,Training
BMC_061,-130.6885288,27.90372746,2.690393825,3.883242468,-6.664411746,-3.009622425,29.875,82,2.926578688,0.933385322,3.133422751,2.05579134,0.083333333,Validation
BMC_062,-126.9890578,21.63987192,2.66289387,4.346145023,-6.584623352,-3.358979946,31.41176471,88,3.060899773,1.051787022,3.160026368,2.473632091,0.153846154,Training
BMC_063,-126.9296021,27.88861115,2.598612719,5.689587306,-6.995144538,-2.692840018,29.13333333,74,2.900976369,0.885048031,3.14129896,1.996596496,0.083333333,Validation
BMC_064,-123.9805984,21.71782859,2.581491756,5.741665976,-6.88922854,-3.190640944,30.8125,80,3.00536406,1.00344973,3.143112515,2.063735383,0.153846154,Training
BMC_065,-135.9924275,27.93232311,1.351849426,17.56549091,-3.560558492,-3.022122425,28.375,82,2.924432218,0.928771764,3.65985367,2.05579134,0.083333333,Training
BMC_066,-133.1865614,22.09794942,1.403467631,17.2218451,-3.512449806,-3.344807611,30.0,88,3.039641469,1.047173463,3.631588368,2.473632091,0.153846154,Training
BMC_068,-126.1384822,21.53615199,2.333438526,3.931015137,-7.04908018,-3.502274279,33.41176471,88,3.085879439,1.058037022,3.046016152,2.558584557,0.214285714,Training
BMC_069,-124.3610919,27.96014563,2.234351463,5.450231417,-7.402020598,-2.897122425,30.4,76,2.924432218,0.880434472,2.980514179,2.07084884,0.083333333,Training
BMC_070,-121.2346218,21.47872345,2.214883574,5.683357942,-7.301170967,-3.289252055,32.0,82,3.039641469,0.998836172,3.003941187,2.13581438,0.153846154,Training
BMC_071,-129.1241891,27.96884259,2.467373129,2.435500713,-6.993660231,-3.310123068,30.58823529,88,2.86482402,0.9798028,3.383519253,2.473632091,0.153846154,Training
BMC_072,-125.8294166,21.53867509,2.438961989,4.457692168,-6.904478705,-3.423366638,32.0,94,3.014926015,1.098204499,3.408460413,2.533716768,0.214285714,Validation
BMC_073,-133.2799529,27.88062425,2.743163212,4.015592998,-6.52247294,-3.272968632,32.875,82,2.911602917,0.888952586,2.800137565,2.507098156,0.153846154,Training
BMC_074,-129.7588417,21.93609786,2.716016044,4.443689929,-6.433223966,-3.462480579,34.23529412,88,3.044176241,1.007354286,2.858441708,2.967842213,0.214285714,Validation
BMC_075,-130.0328508,27.86320979,2.67967138,6.137027896,-6.825680416,-3.10462963,32.33333333,74,2.878680575,0.840615295,2.764616898,2.474569757,0.153846154,Training
BMC_076,-126.1609668,22.02261855,2.668660618,6.231899391,-6.700672354,-3.294141576,33.8125,80,2.981594036,0.959016994,2.808921394,2.516251646,0.214285714,Training
BMC_077,-139.3054184,27.826,0.82376392,19.248,-3.8062,-3.258796296,31.375,82,2.902644213,0.884339028,3.230832667,2.507098156,0.153846154,Training
BMC_079,-129.9658568,27.92256337,2.447368381,4.74027982,-6.970664545,-3.454456058,35.0,82,2.932242595,0.895202586,2.700167961,2.599223493,0.214285714,Validation
BMC_080,-128.4224078,21.76922464,2.427356121,5.158385415,-6.868769455,-3.579881228,36.23529412,88,3.070348963,1.013604286,2.768435045,3.064386648,0.266666667,Training
BMC_081,-125.7867675,27.9530998,2.320128857,6.034639774,-7.248479147,-3.203240741,33.6,76,2.902644213,0.836001737,2.642333644,2.560949991,0.153846154,Validation
BMC_082,-122.0829473,21.70130243,2.308753062,6.21015995,-7.128144553,-3.392752687,35.0,82,3.016461171,0.954403436,2.700167961,2.599223493,0.214285714,Training
BMC_083,-131.4566066,27.94174267,2.547516327,3.664922249,-6.828887209,-3.37070278,33.41176471,88,2.862908065,0.935370064,3.046016152,2.967842213,0.214285714,Training
BMC_084,-127.4758182,21.82825089,2.493844088,4.819027795,-6.75657503,-3.526867271,34.66666667,94,3.010554565,1.053771764,3.101397433,3.003941187,0.266666667,Training
BMC_085,-135.1883452,27.8471898,2.760529725,3.824615973,-6.475994644,-3.696027022,34.23529412,88,2.900934194,0.895550887,2.858441708,3.210314809,0.214285714,Training
BMC_086,-130.999828,21.99201492,2.741089854,4.401181249,-6.42989733,-3.858527022,35.44444444,94,3.028219975,1.013952586,2.926558786,3.230832667,0.266666667,Training
BMC_087,-130.6958047,27.83548388,2.690166691,6.006490432,-6.7906923,-3.52768802,33.8125,80,2.862035095,0.847213595,2.808921394,2.739912069,0.214285714,Training
BMC_088,-127.1032326,22.078,2.67349756,6.102,-6.7244,-3.69018802,35.11764706,86,2.960532841,0.965615295,2.866873839,3.220501965,0.266666667,Training
BMC_089,-140.1381113,27.78956128,0.849672455,19.76490901,-3.771799569,-3.681854686,32.82352941,88,2.885793988,0.890937329,3.252678407,3.210314809,0.214285714,Training
BMC_090,-136.7543693,23.26744972,0.894528092,19.64017392,-3.717148901,-3.844354686,34.11111111,94,2.994938392,1.009339028,3.292385062,3.230832667,0.266666667,Training
BMC_091,-130.3073681,27.8806274,2.43698138,4.538357285,-6.967739578,-3.751724301,36.23529412,88,2.921675187,0.901800887,2.768435045,3.312718825,0.266666667,Validation
BMC_093,-126.6577383,27.96524041,2.315388016,5.754492085,-7.274448138,-3.626299131,35.0,82,2.885793988,0.842600037,2.700167961,2.828426235,0.214285714,Training
BMC_094,-123.8408843,21.75688471,2.303036933,5.977526397,-7.153340821,-3.788799131,36.23529412,88,2.994938392,0.961001737,2.768435045,3.312718825,0.266666667,Training
BMC_095,-133.2294503,27.90459163,2.543048781,3.301677747,-6.819752058,-3.760413714,34.66666667,94,2.866207902,0.941968365,3.101397433,3.230832667,0.266666667,Training
BMC_096,-129.3385523,21.87293045,2.486159235,4.518572312,-6.74878574,-3.922913714,35.78947368,100,3.007929035,1.060370064,3.166596836,3.713648012,0.3125,Training
BMC_097,-134.6306638,27.89740949,2.754215436,4.102478258,-6.505298526,-4.007210176,35.44444444,94,2.894380722,0.930100037,2.926558786,3.484435735,0.266666667,Training
BMC_098,-131.8831679,21.92805879,2.737766176,4.374858595,-6.38565784,-4.132635346,36.52631579,100,3.01439922,1.048501737,3.001998565,3.98394006,0.3125,Training
BMC_100,-127.8460982,22.03402755,2.671717941,6.191224428,-6.675428365,-4.002881708,36.27777778,92,2.945699833,1.000164445,2.934700895,3.494809098,0.3125,Training
BMC_101,-140.9018833,27.83729456,0.532168639,21.65865428,-4.049487367,-3.992063492,34.11111111,94,2.876137097,0.925486479,3.292385062,3.484435735,0.266666667,Training
BMC_102,-137.2334134,23.23910523,0.599004199,20.5590059,-3.972631336,-4.117488662,35.26315789,100,2.978659146,1.043888178,3.345113045,3.98394006,0.3125,Training
BMC_103,-132.1528807,27.94063516,2.445079389,4.794902341,-6.946712608,-4.050497803,37.33333333,94,2.914536165,0.936350037,2.844357389,3.588673559,0.3125,Training
BMC_105,-126.6705391,27.98914247,2.313236396,6.481313891,-7.245514992,-3.951247166,36.23529412,88,2.876137097,0.877149187,2.768435045,3.592507685,0.266666667,Training
BMC_106,-123.4763476,21.7361426,2.298026309,6.240894765,-7.117340495,-4.076672336,37.33333333,94,2.978659146,0.995550887,2.844357389,3.588673559,0.3125,Training
BMC_107,-133.2837787,27.95718147,2.547140368,3.455861259,-6.799574446,-4.05952381,35.78947368,100,2.869361695,0.976517515,3.166596836,3.98394006,0.3125,Validation
BMC_109,-132.7667064,27.87744975,0.218583489,26.06643892,-4.914680986,-3.807687311,30.0,104,2.925391281,1.060112959,4.21519402,3.474500562,0.2,Training
BMC_110,-129.6773516,21.90965425,0.235819466,27.89421891,-4.853397969,-3.970187311,31.23809524,110,3.046130083,1.178514659,4.223739657,3.950748478,0.25,Training
BMC_111,-131.5836123,27.75539478,0.276094648,18.81037497,-4.83126441,-3.639348309,29.42105263,96,2.888704437,1.011775668,4.240226072,3.45803845,0.2,Training
BMC_112,-127.8794801,21.978,0.21217847,24.638,-4.9878,-3.801848309,30.75,102,2.980278274,1.130177368,4.225246278,3.48406523,0.25,Validation
BMC_113,-142.7549945,27.807,2.20063487,11.178,-0.9097,-3.793514975,28.8,104,2.910637541,1.055499401,4.768535633,3.474500562,0.2,Training
BMC_114,-138.7314652,23.0,2.20316425,14.834,-0.9018,-3.956014975,30.0952381,110,3.012971142,1.173901101,4.728545718,3.950748478,0.25,Training
BMC_115,-132.1195481,27.90637664,0.234460181,23.98555306,-5.017559264,-3.86338459,31.7,104,2.944742633,1.066362959,4.070515924,3.570601477,0.25,Training
BMC_116,-128.4931359,21.77249798,0.179858458,27.12758606,-5.121029549,-4.02588459,32.85714286,110,3.071901819,1.184764659,4.09396231,4.05015625,0.294117647,Training
BMC_117,-127.660983,27.955,0.1596941,19.118,-5.3535,-3.73795942,30.42105263,98,2.910637541,1.00716211,4.065873568,3.547475968,0.2,Training
BMC_118,-124.5607821,21.745,0.16649652,21.673,-5.2857,-3.90045942,31.7,104,3.012971142,1.125563809,4.070515924,3.570601477,0.25,Training
BMC_119,-133.127053,27.85602849,0.220272262,22.60950812,-4.920703015,-3.872074003,30.57142857,110,2.894380372,1.106530437,4.46546255,3.950748478,0.25,Training
BMC_120,-129.9133112,21.74487505,0.192426546,27.88804071,-5.039472782,-4.034574003,31.72727273,116,3.02986625,1.224932137,4.473540114,3.97396302,0.294117647,Validation
BMC_121,-134.2494725,27.8967797,2.755167141,4.074809906,-6.471301865,-4.448247945,37.5,106,2.889891249,0.992600037,3.083044788,4.574710164,0.352941176,Training
BMC_122,-130.7000937,21.9916025,2.74497362,4.438965961,-6.375429147,-4.553111418,38.38095238,112,2.993998918,1.111001737,3.168476963,5.102516567,0.388888889,Training
BMC_124,-128.2620268,22.07463444,2.677522531,6.226054566,-6.66673332,-4.444569043,38.25,104,2.929065999,1.062664445,3.090737236,4.586125473,0.388888889,Training
BMC_126,-138.0720688,23.27875093,1.636025043,14.67818745,-3.189268003,-4.537964735,37.23809524,112,2.958127328,1.106388178,3.477647401,5.102516567,0.388888889,Training
BMC_127,-131.2811372,27.93672796,2.449953384,4.719198359,-6.94702518,-4.482825491,39.2,106,2.90803721,0.998850037,3.012231291,4.689294274,0.388888889,Training
BMC_128,-127.3583079,21.79967717,2.436345073,5.070842183,-6.842091944,-4.596399046,40.0,112,3.018377954,1.117251737,3.101928524,5.219445255,0.421052632,Training
BMC_129,-131.5185108,27.95175973,2.319197093,5.428293596,-7.22656403,-4.402530352,38.31578947,100,2.869986399,0.939649187,2.926059762,4.740697837,0.352941176,Training
BMC_132,-128.576783,21.7871211,2.540731868,3.961730385,-6.726284908,-4.605425052,38.54545455,118,2.9938683,1.157419215,3.400663963,5.063216398,0.421052632,Training
BMC_099,-130.681504,27.87440297,2.681987785,6.109818707,-6.806561052,-3.877456538,35.11764706,86,2.853417814,0.881762746,2.866873839,3.494584809,0.266666667,Test
BMC_108,-129.5788291,21.84206071,2.519676142,4.193123976,-6.703330665,-4.18494898,36.8,106,3.003378099,1.094919215,3.239242525,3.984511008,0.352941176,Test
BMC_011,-132.5101163,28.01948005,2.556629081,3.785060201,-6.810510138,-3.237696051,40.36363636,60,3.508339664,0.461763267,1.733742198,1.832447573,0.375,Test
BMC_067,-129.3902482,27.9408087,2.367969647,4.278254048,-7.128166784,-3.376849109,32.0,82,2.94651623,0.939635322,3.003941187,2.13581438,0.153846154,Test
BMC_131,-132.214253,27.96479756,2.551893773,3.518736868,-6.800245181,-4.491592852,37.71428571,112,2.876651732,1.039017515,3.317666884,5.102516567,0.388888889,Test
BMC_125,-141.2410738,27.8301288,0.294012653,24.76766543,-4.313746959,-4.433780352,36.3,106,2.869986399,0.987986479,3.407618365,4.574710164,0.352941176,Test
BMC_104,-127.7789505,21.81428699,2.439606977,5.017580305,-6.845630167,-4.175922973,38.31578947,100,3.040790088,1.054751737,2.926059762,4.09143849,0.352941176,Test
BMC_078,-135.9623075,23.237,0.83632262,19.078,-3.7833,-3.448308243,32.82352941,88,3.016461171,1.002740727,3.252678407,2.967842213,0.214285714,Test
BMC_123,-131.2454332,27.87787718,2.680283838,6.116806197,-6.803853281,-4.345318405,37.31578947,98,2.850117798,0.944262746,3.00989759,4.63309637,0.352941176,Test
BMC_092,-128.9852731,21.87671176,2.362938539,5.503311868,-6.912548716,-3.914224301,37.33333333,94,3.054956436,1.020202586,2.844357389,3.329370471,0.3125,Test
BMC_056,-124.9311724,21.56469542,2.359908131,4.70016635,-7.098848125,-3.486282544,35.0,82,3.08499967,1.007005985,2.700167961,2.217121427,0.214285714,Test
BMC_130,-122.4584379,21.74399715,2.30477652,6.204536848,-7.106483886,-4.50178099,39.2,106,2.958127328,1.058050887,3.012231291,4.689294274,0.388888889,Test
BMC_036,-129.8707039,21.81066413,2.521259661,4.251760511,-6.68013247,-4.817753803,46.94736842,108,4.209901423,0.844919215,2.486805967,5.94906132,0.6875,Test
